left,right,distance,size
1.950000000000000000e+02,2.010000000000000000e+02,8.506832750000000942e+00,4.000000000000000000e+00
1.120000000000000000e+02,1.990000000000000000e+02,8.647519999999998319e+00,5.000000000000000000e+00
1.610000000000000000e+02,1.870000000000000000e+02,8.664909749999999633e+00,4.000000000000000000e+00
1.800000000000000000e+02,2.060000000000000000e+02,8.717860849999999218e+00,9.000000000000000000e+00
1.160000000000000000e+02,2.000000000000000000e+02,8.796046000000000475e+00,3.000000000000000000e+00
5.100000000000000000e+01,1.960000000000000000e+02,8.862841500000000039e+00,3.000000000000000000e+00
9.800000000000000000e+01,1.410000000000000000e+02,8.863516999999999868e+00,2.000000000000000000e+00
2.030000000000000000e+02,2.040000000000000000e+02,8.935369551515153219e+00,3.800000000000000000e+01
3.400000000000000000e+01,3.700000000000000000e+01,8.977489000000000274e+00,2.000000000000000000e+00
2.070000000000000000e+02,2.120000000000000000e+02,9.130801243421052149e+00,4.200000000000000000e+01
4.500000000000000000e+01,2.080000000000000000e+02,9.142633111111111432e+00,1.000000000000000000e+01
2.020000000000000000e+02,2.050000000000000000e+02,9.160202000000001732e+00,7.000000000000000000e+00
3.800000000000000000e+01,2.130000000000000000e+02,9.394357499999999916e+00,3.000000000000000000e+00
1.930000000000000000e+02,2.160000000000000000e+02,9.463088035714287471e+00,1.100000000000000000e+01
5.400000000000000000e+01,2.140000000000000000e+02,9.828051261904763081e+00,4.300000000000000000e+01
3.600000000000000000e+01,1.090000000000000000e+02,9.873656999999999684e+00,2.000000000000000000e+00
2.090000000000000000e+02,2.180000000000000000e+02,9.954030606060605635e+00,1.400000000000000000e+01
2.100000000000000000e+02,2.170000000000000000e+02,1.002706411111111073e+01,6.000000000000000000e+00
2.150000000000000000e+02,2.190000000000000000e+02,1.006912235581395443e+01,5.300000000000000000e+01
2.110000000000000000e+02,2.220000000000000000e+02,1.035541141666666753e+01,8.000000000000000000e+00
2.210000000000000000e+02,2.230000000000000000e+02,1.045686619811320739e+01,6.700000000000000000e+01
5.000000000000000000e+01,8.700000000000000000e+01,1.054463499999999954e+01,2.000000000000000000e+00
2.240000000000000000e+02,2.250000000000000000e+02,1.076389999626865723e+01,7.500000000000000000e+01
